,spread,MA_5,MA_20,MA_60,MACD,MACDsignal,MACDhist,RSI,EMA_5,EMA_20,EMA_60,time_to_end,midQuote,volume,Stock_Ask_Bid_Price_Depth_Ratio,Stock_Ask_Bid_Total_Volume_Ratio
2020-07-01 09:05:00,0.0009752747959659,,,,,,,,,,,0.9811320754716981,8.266031425002575,26.3015873015873,1.0476190476190477,2.056581433234085
2020-07-01 09:10:00,0.001025233591827,,,,,,,,,,,0.9622641509433962,8.265259351338226,67.20370370370371,1.0,2.337066052043573
2020-07-01 09:15:00,0.0005949520719319,,,,,,,,,,,0.9433962264150944,8.265139212931881,114.21875,0.953125,2.2077880368336285
2020-07-01 09:20:00,0.0008140142388839,0.0007803053142004999,,,,,,,0.0007803053142004999,,,0.9245283018867925,8.264456935121261,151.08270676691728,1.0398496240601505,2.120221148361068
2020-07-01 09:25:00,0.0003885544821322,0.00066296125143376,,,,,,,0.0006497217035110667,,,0.9056603773584906,8.264411946589561,220.5103448275862,1.0017241379310344,2.009340679366725
2020-07-01 09:30:00,-0.0007779246010368,0.00040896595674764006,,,,,,,0.0001738396019951111,,,0.8867924528301887,8.268176989777103,335.8628318584071,0.9672566371681416,2.544179718271453
2020-07-01 09:35:00,-0.0001376570031723,0.0001763878377477801,,,,,,,7.000740027264074e-05,,,0.8679245283018868,8.268428643026686,408.6923076923077,0.9406593406593406,2.646039642764866
2020-07-01 09:40:00,-0.0001453007158307,2.8337280195260084e-05,,,,,,,-1.7619717618061676e-06,,,0.8490566037735849,8.268586531401906,443.16037735849056,1.0,2.6436170155856997
2020-07-01 09:45:00,-2.8567715604665977e-05,-0.0001401791107024531,,,,,,,-1.0697219709426104e-05,,,0.8301886792452831,8.267465854526407,478.17699115044246,1.0,2.031251370382642
2020-07-01 09:50:00,0.0002050109754918,-0.0001768878120305331,,,,,,,6.120551202431593e-05,,,0.8113207547169812,8.266333513993407,524.7545454545455,1.0,1.24661221460724
2020-07-01 09:55:00,0.0003610935336677,5.09158149103669e-05,,,,,,,0.00016116818590544392,,,0.7924528301886793,8.266020321427785,550.4655172413793,1.0,1.0626843030412745
2020-07-01 10:05:00,-8.324335496467938e-06,7.678234844553332e-05,,,,,,,0.00010467067877147331,,,0.7547169811320755,8.27069885911453,707.754189944134,1.0,3.159877079710417
2020-07-01 10:10:00,0.0001480025352886,0.00018762515224176652,,,,,,41.89968213454321,0.0001474862694962326,,,0.7358490566037735,8.271795955445699,821.2628571428571,1.0,2.171995179018697
2020-07-01 10:15:00,0.0001825230364964,0.00018312756444268654,,,,,,42.319608910165336,0.00015916519182962172,,,0.7169811320754716,8.272258597079599,893.6744186046511,1.0,2.0288925755764784
2020-07-01 10:20:00,2.373699596525114e-05,0.00011565625690219679,,,,,,40.856826923045155,0.00011402245987483153,,,0.6981132075471698,8.271150449038165,919.0666666666668,1.0,1.3340876459252229
2020-07-01 10:25:00,0.0002248276680081,0.00016228665760311035,,,,,,43.51940007668313,0.00015095752925258768,,,0.6792452830188679,8.271010219070629,941.972972972973,1.0,1.3403747578250345
2020-07-01 10:30:00,-0.0002176637729363,7.228529256441036e-05,,,,,,39.32418447658515,2.8083761856291794e-05,,,0.660377358490566,8.271886934005648,992.4405594405596,1.0,1.5618120615884137
2020-07-01 10:35:00,-0.0012065126367897,-0.00019861774185124965,0.00015728340347214088,,,,,31.919076018199167,-0.00038344837102570543,0.00015728340347214088,,0.6415094339622641,8.270872574462924,1020.6268656716418,1.0,1.363893698170746
2020-07-01 10:45:00,-0.0006395906837806,-0.0003630404859066496,7.654012948481589e-05,,,,,39.010081060316736,-0.00046882914194400357,8.139063325759414e-05,,0.6037735849056604,8.270653062295631,1049.0681818181818,1.0,1.7589571311611645
2020-07-01 10:50:00,-0.0005161609027002,-0.00047102006563973985,2.61294907301159e-05,,,,,40.464010389246255,-0.00048460639552940236,2.448096316637566e-05,,0.5849056603773585,8.270776492076712,1088.8070175438595,1.0,1.6874927495115284
2020-07-01 11:05:00,0.000562683752765,-0.00040344884868835987,3.0019987770159013e-06,,,,,51.37508930681258,-0.00013550967943126827,7.573837169957796e-05,,0.5283018867924528,8.272979105452308,1167.12,1.0,2.484030637153676
2020-07-01 11:10:00,-5.6378540786994336e-06,-0.00012655249219725834,-6.943104812729873e-05,,,,,46.58815580440756,-6.967398070497302e-05,5.852744882302526e-05,,0.5094339622641509,8.27224556112862,1214.578947368421,1.0,1.8775478845756235
2020-07-01 11:15:00,-0.0011836621838003,-0.00023536679220119834,-0.00014804188142392372,,,,,38.0557208218183,-0.0004410033817367487,-5.977632571252953e-05,,0.49056603773584906,8.271873009752895,1270.030303030303,1.018939393939394,1.522465723819289
2020-07-01 11:20:00,-0.0006347860920108,-0.00025909183006331835,-0.00014088495597262374,,,,,43.26912821168853,-0.0005055976184947658,-0.0001145391605980791,,0.4716981132075472,8.271696282241708,1306.7631578947369,1.0,1.653375159086782
2020-07-01 11:25:00,-0.0005709789172243,-0.0004858243640611784,-0.00016255105167522376,,,,,43.8606459273525,-0.0005273913847379439,-0.00015800961361010015,,0.4528301886792453,8.272521928802902,1314.9493670886077,1.0,1.7320958439968963
2020-07-01 11:30:00,0.0,-0.0004790130094228198,-0.00015528601588368876,,,,,48.9865259770092,-0.0003515942564919626,-0.0001429610789805668,,0.4339622641509434,8.273208974230176,1332.84,1.0,1.9833997635488456
2020-07-01 11:35:00,0.0001844395251797,-0.00044099753357113995,-0.00014463565384447046,,,,,50.556977887321366,-0.00017291632926807505,-0.0001117800690605414,,0.41509433962264153,8.272335270791459,1364.7105263157894,1.0,1.4627584344853286
2020-07-01 11:40:00,-0.0004393241450841,-0.00029212992582789993,-0.00017685240987326548,,,,,45.45992413843908,-0.00026171893454008337,-0.00014297474296754697,,0.39622641509433965,8.27135790306619,1383.5113636363635,1.005681818181818,1.499913325649877
